Recency,Frequency,MonetaryValue,R,F,M,RFM_Segment,RFM_Score
9,77,1083.63,4,3,3,433,10
4,26,598.57,4,2,2,422,8
22,78,1555.32,3,3,3,333,9
2,75,578.66,4,3,2,432,9
37,88,5815.49,3,3,4,334,10
64,135,2140.07,2,4,4,244,10
1,20,640.76,4,2,2,422,8
5,500,10664.34,4,4,4,444,12
70,110,1491.7,2,4,3,243,9
72,11,567.36,2,1,2,212,5
17,25,199.48000000000002,4,2,1,421,7
3,21,787.85,4,2,3,423,9
32,77,7072.8,3,3,4,334,10
82,12,675.3,2,1,3,213,6
39,109,3617.57,3,4,4,344,11
316,17,1308.48,1,1,3,113,5
32,19,740.4,3,2,3,323,8
93,53,1140.93,2,3,3,233,8
14,21,350.9,4,2,2,422,8
82,268,3536.82,2,4,4,244,10
77,51,795.12,2,3,3,233,8
154,24,431.82,1,2,2,122,5
201,54,860.12,1,3,3,133,7
45,134,10736.48,3,4,4,344,11
261,42,775.85,1,2,3,123,6
173,22,303.93,1,2,2,122,5
68,119,2543.72,2,4,4,244,10
277,22,377.6,1,2,2,122,5
70,8,341.36,2,1,2,212,5
64,14,233.76,2,1,1,211,4
11,16,247.32,4,1,1,411,6
16,43,910.72,4,3,3,433,10
66,16,373.94,2,1,2,212,5
8,27,389.28,4,2,2,422,8
71,51,743.53,2,3,3,233,8
122,32,674.7,2,2,3,223,7
80,42,768.24,2,2,3,223,7
257,90,609.95,1,3,2,132,6
269,29,439.03,1,2,2,122,5
59,24,431.26,2,2,2,222,6
3,169,3085.4900000000002,4,4,4,444,12
18,60,992.5,3,3,3,333,9
67,20,0.0,2,2,1,221,5
9,132,2191.22,4,4,4,444,12
50,1,56.160000000000004,3,1,1,311,5
257,29,623.4,1,2,2,122,5
354,19,263.75,1,2,1,121,4
366,44,721.32,1,3,3,133,7
90,23,378.64,2,2,2,222,6
61,158,3312.25,2,4,4,244,10
81,38,772.9,2,2,3,223,7
99,53,1019.76,2,3,3,233,8
26,97,572.56,3,3,2,332,8
21,173,3626.81,3,4,4,344,11
281,15,222.99,1,1,1,111,3
31,155,4122.28,3,4,4,344,11
330,35,534.57,1,2,2,122,5
121,36,627.15,2,2,2,222,6
11,51,797.96,4,3,3,433,10
75,13,544.08,2,1,2,212,5
204,1,59.8,1,1,1,111,3
2,164,2312.8,4,4,4,444,12
185,21,307.72,1,2,2,122,5
22,47,1325.29,3,3,3,333,9
73,39,1539.18,2,2,3,223,7
192,26,457.34,1,2,2,122,5
127,39,621.23,2,2,2,222,6
18,3,75.0,3,1,1,311,5
1,11,252.49,4,1,1,411,6
74,27,572.451,2,2,2,222,6
2,501,27487.41,4,4,4,444,12
9,30,988.91,4,2,3,423,9
107,18,213.55,2,2,1,221,5
134,24,1390.5,2,2,3,223,7
44,19,712.5,3,2,3,323,8
5,28,640.83,4,2,2,422,8
12,314,5845.44,4,4,4,444,12
64,16,221.06,2,1,1,211,4
135,10,140.35,2,1,1,211,4
40,105,1848.98,3,4,4,344,11
51,128,2601.55,2,4,4,244,10
108,78,1624.21,2,3,4,234,9
1,159,3550.7000000000003,4,4,4,444,12
19,29,582.6,3,2,2,322,7
10,74,218.47,4,3,1,431,8
11,67,1006.8,4,3,3,433,10
19,54,648.6899999999999,3,3,3,333,9
67,46,1269.1,2,3,3,233,8
74,10,534.24,2,1,2,212,5
5,103,3794.4900000000002,4,4,4,444,12
2,12,196.89,4,1,1,411,6
14,167,3408.06,4,4,4,444,12
255,54,283.71,1,3,1,131,5
92,13,296.64,2,1,2,212,5
23,62,1104.23,3,3,3,333,9
17,199,3465.67,4,4,4,444,12
24,19,291.88,3,2,1,321,6
27,71,2043.7199999999998,3,3,4,334,10
26,444,2916.45,3,4,4,344,11
259,2,590.0,1,1,2,112,4
166,17,356.97999999999996,1,1,2,112,4
25,53,1007.35,3,3,3,333,9
18,65,1737.8200000000002,3,3,4,334,10
7,394,9537.92,4,4,4,444,12
29,17,183.44,3,1,1,311,5
39,27,1445.0,3,2,3,323,8
183,10,143.25,1,1,1,111,3
58,41,674.68,2,2,3,223,7
100,18,297.95,2,2,2,222,6
11,99,1083.71,4,3,3,433,10
2,306,5656.75,4,4,4,444,12
99,10,165.0,2,1,1,211,4
1,260,2531.58,4,4,4,444,12
61,22,417.54,2,2,2,222,6
236,64,229.59,1,3,1,131,5
191,86,1431.78,1,3,3,133,7
179,61,1092.77,1,3,3,133,7
38,81,1441.53,3,3,3,333,9
198,16,291.0,1,1,1,111,3
46,112,1776.81,3,4,4,344,11
232,11,184.64,1,1,1,111,3
66,10,140.34,2,1,1,211,4
241,8,313.8,1,1,2,112,4
233,23,454.24,1,2,2,122,5
78,69,1122.41,2,3,3,233,8
58,34,575.4,2,2,2,222,6
17,427,8910.61,4,4,4,444,12
105,14,449.52,2,1,2,212,5
52,86,1215.82,2,3,3,233,8
136,50,1269.84,2,3,3,233,8
275,8,618.63,1,1,2,112,4
312,18,316.26000000000005,1,2,2,122,5
8,52,1990.1200000000001,4,3,4,434,11
11,36,617.93,4,2,2,422,8
283,20,321.05,1,2,2,122,5
18,45,1146.96,3,3,3,333,9
23,67,1136.77,3,3,3,333,9
243,53,1310.47,1,3,3,133,7
17,18,292.0,4,2,1,421,7
71,17,216.85,2,1,1,211,4
64,22,295.93,2,2,2,222,6
68,227,4282.88,2,4,4,244,10
312,29,452.82,1,2,2,122,5
3,162,2479.16,4,4,4,444,12
244,12,110.97,1,1,1,111,3
9,44,979.72,4,3,3,433,10
1,117,1785.16,4,4,4,444,12
261,15,251.21,1,1,1,111,3
127,10,205.1,2,1,1,211,4
74,4,152.20000000000002,2,1,1,211,4
73,59,891.12,2,3,3,233,8
21,44,1389.41,3,3,3,333,9
60,143,2109.07,2,4,4,244,10
86,38,659.4399999999999,2,2,3,223,7
50,9,110.80000000000001,3,1,1,311,5
59,95,3487.75,2,3,4,234,9
1,436,1093.65,4,4,3,443,11
30,5,125.80000000000001,3,1,1,311,5
33,177,3755.38,3,4,4,344,11
41,27,680.1800000000001,3,2,3,323,8
15,6,628.78,4,1,2,412,7
34,224,2263.76,3,4,4,344,11
79,15,307.76,2,1,2,212,5
205,22,483.8,1,2,2,122,5
34,66,210.31,3,3,1,331,7
183,76,270.79,1,3,1,131,5
2,342,5613.08,4,4,4,444,12
1,179,3448.29,4,4,4,444,12
43,25,1280.85,3,2,3,323,8
86,38,605.84,2,2,2,222,6
40,87,291.41,3,3,1,331,7
12,98,626.99,4,3,2,432,9
96,124,682.41,2,4,3,243,9
26,52,916.12,3,3,3,333,9
319,4,91.80000000000001,1,1,1,111,3
66,121,3539.53,2,4,4,244,10
74,136,4149.28,2,4,4,244,10
28,34,584.06,3,2,2,322,7
6,175,605.06,4,4,2,442,10
7,33,174.37,4,2,1,421,7
216,14,141.85999999999999,1,1,1,111,3
82,82,1799.33,2,3,4,234,9
84,49,777.53,2,3,3,233,8
144,85,647.74,1,3,2,132,6
19,38,240.22,3,2,1,321,6
41,176,874.71,3,4,3,343,10
173,44,192.85,1,3,1,131,5
17,85,373.75,4,3,2,432,9
243,27,239.49,1,2,1,121,4
13,341,2092.32,4,4,4,444,12
206,33,1384.25,1,2,3,123,6
50,26,294.4,3,2,2,322,7
23,46,732.0699999999999,3,3,3,333,9
10,130,6703.3,4,4,4,444,12
25,85,1658.3,3,3,4,334,10
15,23,467.04,4,2,2,422,8
309,10,118.0,1,1,1,111,3
156,53,781.03,1,3,3,133,7
307,24,142.4,1,2,1,121,4
32,11,347.0,3,1,2,312,6
16,180,2445.12,4,4,4,444,12
15,21,379.65,4,2,2,422,8
11,89,1976.12,4,3,4,434,11
65,58,1117.13,2,3,3,233,8
36,16,247.95999999999998,3,1,1,311,5
108,129,1990.28,2,4,4,244,10
53,26,396.97,2,2,2,222,6
6,166,697.04,4,4,3,443,11
47,41,167.42000000000002,3,2,1,321,6
1,264,5030.6,4,4,4,444,12
312,19,219.52,1,2,1,121,4
45,99,693.32,3,3,3,333,9
65,23,428.89,2,2,2,222,6
26,27,164.34,3,2,1,321,6
29,43,280.53999999999996,3,3,1,331,7
40,98,678.01,3,3,3,333,9
12,228,1115.43,4,4,3,443,11
89,76,1158.2,2,3,3,233,8
24,201,1610.46,3,4,3,343,10
313,24,399.99,1,2,2,122,5
40,44,544.18,3,3,2,332,8
174,13,177.34,1,1,1,111,3
117,19,213.85,2,2,1,221,5
31,86,672.44,3,3,3,333,9
253,19,257.23,1,2,1,121,4
59,94,1624.02,2,3,4,234,9
23,59,7792.36,3,3,4,334,10
5,80,1995.68,4,3,4,434,11
100,12,3021.77,2,1,4,214,7
25,147,2117.02,3,4,4,344,11
33,188,1575.16,3,4,3,343,10
68,62,1071.03,2,3,3,233,8
37,64,941.62,3,3,3,333,9
52,101,810.5,2,3,3,233,8
16,8,122.64,4,1,1,411,6
74,40,1033.34,2,2,3,223,7
216,66,354.8,1,3,2,132,6
31,28,519.44,3,2,2,322,7
9,148,2597.52,4,4,4,444,12
120,5,252.1,2,1,1,211,4
10,80,1670.22,4,3,4,434,11
257,23,346.6,1,2,2,122,5
17,98,1809.34,4,3,4,434,11
35,6,94.2,3,1,1,311,5
46,63,1095.08,3,3,3,333,9
43,166,2707.33,3,4,4,344,11
114,56,932.97,2,3,3,233,8
165,49,379.65,1,3,2,132,6
11,16,382.14,4,1,2,412,7
10,112,2421.47,4,4,4,444,12
197,108,1550.85,1,4,3,143,8
86,58,879.08,2,3,3,233,8
179,13,189.47,1,1,1,111,3
60,12,84.65,2,1,1,211,4
149,87,305.02,1,3,2,132,6
3,501,6216.07,4,4,4,444,12
51,9,218.55,2,1,1,211,4
75,25,349.7,2,2,2,222,6
301,16,-71.46,1,1,1,111,3
19,65,396.92,3,3,2,332,8
151,25,486.82000000000005,1,2,2,122,5
152,16,232.6,1,1,1,111,3
1,216,2202.31,4,4,4,444,12
18,57,827.83,3,3,3,333,9
187,3,59.5,1,1,1,111,3
286,31,64.23,1,2,1,121,4
3,39,3119.44,4,2,4,424,10
183,8,72.0,1,1,1,111,3
63,6,910.0,2,1,3,213,6
59,9,172.25,2,1,1,211,4
25,55,1466.8700000000001,3,3,3,333,9
325,4,-32.0,1,1,1,111,3
4,585,62653.1,4,4,4,444,12
31,90,2504.13,3,3,4,334,10
39,12,151.29999999999998,3,1,1,311,5
155,14,308.58000000000004,1,1,2,112,4
26,197,2265.12,3,4,4,344,11
318,1,99.5,1,1,1,111,3
5,135,2295.31,4,4,4,444,12
8,28,711.86,4,2,3,423,9
303,20,330.79,1,2,2,122,5
267,48,806.41,1,3,3,133,7
271,51,296.88,1,3,2,132,6
4,346,6249.110000000001,4,4,4,444,12
32,8,180.48,3,1,1,311,5
219,13,252.06,1,1,1,111,3
247,10,228.84,1,1,1,111,3
281,108,1053.94,1,4,3,143,8
269,21,138.28,1,2,1,121,4
32,103,1432.26,3,4,3,343,10
246,12,306.55,1,1,2,112,4
15,60,1041.68,4,3,3,433,10
117,43,799.9,2,3,3,233,8
36,28,524.14,3,2,2,322,7
120,86,2369.16,2,3,4,234,9
217,6,199.85000000000002,1,1,1,111,3
50,118,1809.81,3,4,4,344,11
39,42,1079.6599999999999,3,2,3,323,8
29,20,333.48,3,2,2,322,7
37,63,1016.14,3,3,3,333,9
136,43,752.6,2,3,3,233,8
219,38,610.59,1,2,2,122,5
28,33,491.86,3,2,2,322,7
25,208,2766.18,3,4,4,344,11
5,194,724.0,4,4,3,443,11
200,30,339.59999999999997,1,2,2,122,5
18,3,216.9,3,1,1,311,5
241,23,350.75,1,2,2,122,5
72,35,666.33,2,2,3,223,7
17,323,3102.42,4,4,4,444,12
3,42,1340.1499999999999,4,2,3,423,9
95,72,1156.36,2,3,3,233,8
151,26,291.54,1,2,1,121,4
374,1,79.6,1,1,1,111,3
96,28,948.25,2,2,3,223,7
54,24,1647.26,2,2,4,224,8
288,9,296.25,1,1,2,112,4
124,76,1186.28,2,3,3,233,8
288,35,741.26,1,2,3,123,6
152,12,282.59999999999997,1,1,1,111,3
4,343,2154.68,4,4,4,444,12
2,143,5145.12,4,4,4,444,12
12,117,3190.55,4,4,4,444,12
33,25,659.4100000000001,3,2,3,323,8
54,57,286.79,2,3,1,231,6
50,70,1070.65,3,3,3,333,9
204,14,3.552713678800501e-15,1,1,1,111,3
63,17,1689.46,2,1,4,214,7
71,208,1521.76,2,4,3,243,9
2,399,16945.71,4,4,4,444,12
2,143,2771.87,4,4,4,444,12
64,120,2631.7,2,4,4,244,10
34,177,1132.13,3,4,3,343,10
82,22,345.0,2,2,2,222,6
1,219,25748.350000000002,4,4,4,444,12
103,9,178.7,2,1,1,211,4
7,57,360.01,4,3,2,432,9
251,17,127.84,1,1,1,111,3
13,115,912.0,4,4,3,443,11
10,31,2462.79,4,2,4,424,10
367,7,230.39999999999998,1,1,1,111,3
76,31,309.04,2,2,2,222,6
4,45,348.8,4,3,2,432,9
43,17,1047.68,3,1,3,313,7
66,13,195.55,2,1,1,211,4
1,439,36351.42,4,4,4,444,12
117,39,688.86,2,2,3,223,7
310,33,558.32,1,2,2,122,5
67,23,324.8,2,2,2,222,6
138,66,3906.27,2,3,4,234,9
255,17,277.07,1,1,1,111,3
31,137,2635.79,3,4,4,344,11
52,13,924.6,2,1,3,213,6
64,10,256.38,2,1,1,211,4
367,7,112.6,1,1,1,111,3
6,76,1747.66,4,3,4,434,11
305,12,155.05,1,1,1,111,3
29,36,899.51,3,2,3,323,8
184,14,591.75,1,1,2,112,4
42,36,539.0,3,2,2,322,7
40,71,1353.41,3,3,3,333,9
56,58,1562.12,2,3,3,233,8
22,177,4014.91,3,4,4,344,11
24,33,555.04,3,2,2,322,7
29,24,382.98,3,2,2,322,7
302,36,1140.35,1,2,3,123,6
145,59,385.64,1,3,2,132,6
6,96,632.0,4,3,2,432,9
19,40,957.66,3,2,3,323,8
33,46,1698.94,3,3,4,334,10
158,12,174.65,1,1,1,111,3
58,93,412.05,2,3,2,232,7
22,15,209.49,3,1,1,311,5
359,1,-102.0,1,1,1,111,3
16,74,2202.99,4,3,4,434,11
18,4,40.949999999999996,3,1,1,311,5
159,29,384.8,1,2,2,122,5
25,55,834.57,3,3,3,333,9
212,19,271.24,1,2,1,121,4
6,174,691.73,4,4,3,443,11
253,1,85.0,1,1,1,111,3
59,206,3385.62,2,4,4,244,10
11,20,361.62,4,2,2,422,8
65,9,312.98,2,1,2,212,5
25,58,847.61,3,3,3,333,9
92,5,1255.0,2,1,3,213,6
52,101,1537.95,2,3,3,233,8
88,94,1586.81,2,3,3,233,8
96,81,2651.46,2,3,4,234,9
9,24,1056.94,4,2,3,423,9
9,114,8025.0199999999995,4,4,4,444,12
169,17,363.4,1,1,2,112,4
57,11,216.17,2,1,1,211,4
326,28,201.16,1,2,1,121,4
1,77,1240.0,4,3,3,433,10
18,142,2187.31,3,4,4,344,11
245,22,299.56,1,2,2,122,5
58,30,501.56,2,2,2,222,6
74,7,145.67000000000002,2,1,1,211,4
31,61,1015.29,3,3,3,333,9
7,33,3192.54,4,2,4,424,10
123,307,3104.95,2,4,4,244,10
2,118,2751.25,4,4,4,444,12
23,338,6389.8,3,4,4,344,11
120,24,381.7,2,2,2,222,6
358,18,540.45,1,2,2,122,5
54,104,1786.79,2,4,4,244,10
64,7,122.7,2,1,1,211,4
86,3,117.24,2,1,1,211,4
55,36,1281.53,2,2,3,223,7
21,165,3219.77,3,4,4,344,11
4,180,16989.52,4,4,4,444,12
3,66,1131.28,4,3,3,433,10
1,155,2538.75,4,4,4,444,12
7,60,781.3000000000001,4,3,3,433,10
189,28,506.8,1,2,2,122,5
71,16,243.56,2,1,1,211,4
204,19,349.55,1,2,2,122,5
120,40,605.63,2,2,2,222,6
93,15,416.90000000000003,2,1,2,212,5
1,114,1860.8600000000001,4,4,4,444,12
27,27,632.97,3,2,2,322,7
298,21,821.1,1,2,3,123,6
22,30,535.97,3,2,2,322,7
21,119,2588.12,3,4,4,344,11
50,17,311.16,3,1,2,312,6
326,12,155.93,1,1,1,111,3
16,19,388.52,4,2,2,422,8
183,43,740.95,1,3,3,133,7
72,149,2867.2,2,4,4,244,10
37,26,332.64,3,2,2,322,7
80,126,2347.05,2,4,4,244,10
57,148,2580.91,2,4,4,244,10
4,34,613.95,4,2,2,422,8
50,18,272.04,3,2,1,321,6
50,30,1212.8400000000001,3,2,3,323,8
53,33,350.15999999999997,2,2,2,222,6
352,7,172.25,1,1,1,111,3
54,20,351.13,2,2,2,222,6
2,137,1682.08,4,4,4,444,12
36,45,616.65,3,3,2,332,8
23,11,223.85000000000002,3,1,1,311,5
75,21,348.99,2,2,2,222,6
11,27,464.57,4,2,2,422,8
169,10,802.85,1,1,3,113,5
58,17,337.34,2,1,2,212,5
86,59,1230.93,2,3,3,233,8
295,16,307.4,1,1,2,112,4
109,23,608.7900000000001,2,2,2,222,6
264,31,922.1,1,2,3,123,6
171,27,361.28,1,2,2,122,5
169,9,158.85,1,1,1,111,3
35,7,71.66,3,1,1,311,5
23,46,556.75,3,3,2,332,8
17,49,839.14,4,3,3,433,10
22,47,4912.41,3,3,4,334,10
79,11,561.5699999999999,2,1,2,212,5
65,5,90.6,2,1,1,211,4
361,3,102.0,1,1,1,111,3
3,160,2427.32,4,4,4,444,12
11,36,728.56,4,2,3,423,9
176,39,674.45,1,2,3,123,6
211,138,3246.091,1,4,4,144,9
7,20,3515.68,4,2,4,424,10
2,30,378.59,4,2,2,422,8
154,33,322.96,1,2,2,122,5
5,152,1026.42,4,4,3,443,11
372,5,-102.45,1,1,1,111,3
79,92,598.2,2,3,2,232,7
21,12,230.22,3,1,1,311,5
22,11,169.55,3,1,1,311,5
308,35,664.54,1,2,3,123,6
146,2,80.7,1,1,1,111,3
7,633,8986.69,4,4,4,444,12
9,158,2702.2200000000003,4,4,4,444,12
71,15,190.25,2,1,1,211,4
287,11,264.7,1,1,1,111,3
49,28,413.59000000000003,3,2,2,322,7
31,340,2503.23,3,4,4,344,11
207,10,357.98,1,1,2,112,4
15,15,196.79000000000002,4,1,1,411,6
73,54,869.87,2,3,3,233,8
60,11,200.14,2,1,1,211,4
39,115,1861.11,3,4,4,344,11
30,112,2590.46,3,4,4,344,11
27,17,488.03,3,1,2,312,6
4,353,7024.53,4,4,4,444,12
17,13,320.46,4,1,2,412,7
20,239,4098.8,3,4,4,344,11
66,41,1266.08,2,2,3,223,7
213,16,311.3,1,1,2,112,4
12,86,850.63,4,3,3,433,10
30,5,76.8,3,1,1,311,5
32,125,3409.66,3,4,4,344,11
4,155,2313.14,4,4,4,444,12
15,87,1383.49,4,3,3,433,10
10,212,3865.26,4,4,4,444,12
206,16,633.71,1,1,2,112,4
46,40,2030.3300000000002,3,2,4,324,9
134,47,529.73,2,3,2,232,7
43,171,4582.64,3,4,4,344,11
10,84,2874.72,4,3,4,434,11
116,30,962.19,2,2,3,223,7
198,44,685.9300000000001,1,3,3,133,7
278,11,328.8,1,1,2,112,4
110,34,473.02,2,2,2,222,6
77,39,505.18,2,2,2,222,6
53,20,917.34,2,2,3,223,7
154,162,4328.46,1,4,4,144,9
47,68,1398.96,3,3,3,333,9
17,39,642.8,4,2,2,422,8
155,22,631.9,1,2,2,122,5
225,28,440.0,1,2,2,122,5
7,31,584.07,4,2,2,422,8
122,16,327.7,2,1,2,212,5
61,6,104.82,2,1,1,211,4
63,15,467.66,2,1,2,212,5
18,243,2360.09,3,4,4,344,11
7,258,14634.640000000001,4,4,4,444,12
2,152,2929.84,4,4,4,444,12
22,92,512.02,3,3,2,332,8
29,66,1428.02,3,3,3,333,9
285,38,626.65,1,2,2,122,5
176,28,147.20000000000002,1,2,1,121,4
78,93,1554.48,2,3,3,233,8
33,6,152.2,3,1,1,311,5
41,241,3542.19,3,4,4,344,11
266,21,141.41,1,2,1,121,4
27,209,652.82,3,4,3,343,10
109,6,1659.75,2,1,4,214,7
284,14,154.99,1,1,1,111,3
9,34,1290.01,4,2,3,423,9
277,88,375.13,1,3,2,132,6
17,505,5639.15,4,4,4,444,12
32,54,746.36,3,3,3,333,9
1,215,15477.34,4,4,4,444,12
20,56,225.36,3,3,1,331,7
124,4,260.25,2,1,1,211,4
65,6,92.46,2,1,1,211,4
106,10,725.6400000000001,2,1,3,213,6
1,1128,8124.4,4,4,4,444,12
24,291,6147.4,3,4,4,344,11
267,8,183.6,1,1,1,111,3
5,203,6135.38,4,4,4,444,12
10,111,10464.85,4,4,4,444,12
29,82,1188.32,3,3,3,333,9
267,7,152.55,1,1,1,111,3
64,52,374.7,2,3,2,232,7
320,24,265.85,1,2,1,121,4
4,333,1307.41,4,4,3,443,11
21,14,139.54,3,1,1,311,5
5,43,942.26,4,3,3,433,10
129,46,122.47,2,3,1,231,6
41,42,499.41999999999996,3,2,2,322,7
102,65,1049.37,2,3,3,233,8
125,12,375.1,2,1,2,212,5
33,4,45.599999999999994,3,1,1,311,5
267,156,904.67,1,4,3,143,8
365,29,182.25,1,2,1,121,4
4,181,1018.43,4,4,3,443,11
2,451,4435.79,4,4,4,444,12
3,70,181.67,4,3,1,431,8
10,590,50415.49,4,4,4,444,12
57,14,161.0,2,1,1,211,4
325,1,76.32000000000001,1,1,1,111,3
8,217,4063.1,4,4,4,444,12
12,105,442.85,4,4,2,442,10
4,5128,57120.909999999996,4,4,4,444,12
37,21,147.35,3,2,1,321,6
16,252,3092.9700000000003,4,4,4,444,12
138,26,194.9,2,2,1,221,5
74,35,5976.79,2,2,4,224,8
5,84,1314.73,4,3,3,433,10
155,21,216.20999999999998,1,2,1,121,4
85,76,1260.33,2,3,3,233,8
52,124,2688.48,2,4,4,244,10
31,35,594.16,3,2,2,322,7
23,14,80.2,3,1,1,311,5
4,157,5669.65,4,4,4,444,12
14,11,688.6,4,1,3,413,8
23,173,2774.17,3,4,4,344,11
4,40,1377.92,4,2,3,423,9
274,15,386.53,1,1,2,112,4
20,72,1382.74,3,3,3,333,9
144,3,90.0,1,1,1,111,3
354,1,-19.9,1,1,1,111,3
4,161,2740.3,4,4,4,444,12
84,5,419.58000000000004,2,1,2,212,5
11,167,2740.43,4,4,4,444,12
8,16,643.6300000000001,4,1,2,412,7
123,44,709.71,2,3,3,233,8
61,46,637.5,2,3,2,232,7
2,52,1123.8600000000001,4,3,3,433,10
319,67,483.86,1,3,2,132,6
2,201,3580.13,4,4,4,444,12
130,30,590.3399999999999,2,2,2,222,6
2,134,4690.31,4,4,4,444,12
2,47,982.3800000000001,4,3,3,433,10
46,26,415.82,3,2,2,322,7
4,67,920.05,4,3,3,433,10
3,46,879.0300000000001,4,3,3,433,10
373,22,311.81,1,2,2,122,5
134,7,115.8,2,1,1,211,4
47,12,3148.2,3,1,4,314,8
9,245,2949.57,4,4,4,444,12
49,6,468.4,3,1,2,312,6
234,3,157.2,1,1,1,111,3
213,40,259.43,1,2,1,121,4
36,26,658.64,3,2,3,323,8
75,50,611.09,2,3,2,232,7
239,52,1345.62,1,3,3,133,7
266,6,118.75,1,1,1,111,3
10,1420,113384.14,4,4,4,444,12
20,49,400.43,3,3,2,332,8
40,41,507.66,3,2,2,322,7
20,1212,4678.3,3,4,4,344,11
216,108,1110.52,1,4,3,143,8
174,25,289.36,1,2,1,121,4
87,52,2445.91,2,3,4,234,9
71,29,1631.77,2,2,4,224,8
276,25,122.53999999999999,1,2,1,121,4
39,52,574.84,3,3,2,332,8
98,58,363.79,2,3,2,232,7
11,29,450.84,4,2,2,422,8
33,26,134.46,3,2,1,321,6
51,164,3108.06,2,4,4,244,10
297,32,574.0,1,2,2,122,5
85,43,554.46,2,3,2,232,7
9,327,1620.93,4,4,4,444,12
41,165,719.78,3,4,3,343,10
11,248,4640.77,4,4,4,444,12
67,24,452.89,2,2,2,222,6
331,3,197.65,1,1,1,111,3
9,71,2018.91,4,3,4,434,11
2,277,4604.31,4,4,4,444,12
2,263,4660.01,4,4,4,444,12
68,42,853.39,2,2,3,223,7
5,604,11216.75,4,4,4,444,12
202,8,962.7,1,1,3,113,5
107,6,335.52,2,1,2,212,5
4,44,663.5,4,3,3,433,10
218,2,185.39999999999998,1,1,1,111,3
60,39,688.04,2,2,3,223,7
2,44,161.03,4,3,1,431,8
11,39,218.78,4,2,1,421,7
239,21,308.26,1,2,2,122,5
95,10,151.74,2,1,1,211,4
11,88,2067.13,4,3,4,434,11
91,103,1900.89,2,4,4,244,10
53,118,2208.3,2,4,4,244,10
90,9,1070.48,2,1,3,213,6
372,5,-1192.2,1,1,1,111,3
31,70,1000.23,3,3,3,333,9
12,109,1777.92,4,4,4,444,12
3,59,1839.3,4,3,4,434,11
2,107,1925.3600000000001,4,4,4,444,12
43,12,169.48000000000002,3,1,1,311,5
4,7,89.94,4,1,1,411,6
247,21,632.4,1,2,2,122,5
42,194,3427.85,3,4,4,344,11
177,41,683.17,1,2,3,123,6
92,61,975.23,2,3,3,233,8
110,118,1050.12,2,4,3,243,9
29,73,2201.64,3,3,4,334,10
26,183,3315.71,3,4,4,344,11
52,43,1450.6,2,3,3,233,8
179,54,822.0600000000001,1,3,3,133,7
32,118,2043.93,3,4,4,344,11
44,36,1447.51,3,2,3,323,8
22,159,775.46,3,4,3,343,10
10,80,3093.86,4,3,4,434,11
81,15,490.86,2,1,2,212,5
373,9,161.0,1,1,1,111,3
326,8,146.85,1,1,1,111,3
43,116,2323.5,3,4,4,344,11
30,42,890.34,3,2,3,323,8
184,10,213.70000000000002,1,1,1,111,3
235,16,280.55,1,1,1,111,3
9,148,2535.88,4,4,4,444,12
176,112,1677.48,1,4,4,144,9
111,75,1474.06,2,3,3,233,8
278,20,136.76999999999998,1,2,1,121,4
318,8,302.58,1,1,2,112,4
7,111,1904.05,4,4,4,444,12
2,78,2879.7000000000003,4,3,4,434,11
254,54,935.0600000000001,1,3,3,133,7
51,107,3087.27,2,4,4,244,10
9,112,12650.08,4,4,4,444,12
142,5,120.0,2,1,1,211,4
51,52,1163.45,2,3,3,233,8
8,143,2618.23,4,4,4,444,12
155,19,319.47,1,2,2,122,5
109,31,530.18,2,2,2,222,6
151,66,1279.09,1,3,3,133,7
332,29,492.65000000000003,1,2,2,122,5
226,10,112.32,1,1,1,111,3
74,33,437.96,2,2,2,222,6
51,29,559.97,2,2,2,222,6
88,75,1019.39,2,3,3,233,8
15,228,3957.0,4,4,4,444,12
197,8,134.04,1,1,1,111,3
3,156,3729.34,4,4,4,444,12
31,34,578.45,3,2,2,322,7
21,27,1910.01,3,2,4,324,9
24,285,4595.81,3,4,4,344,11
8,11,151.23000000000002,4,1,1,411,6
212,17,413.85,1,1,2,112,4
9,47,911.26,4,3,3,433,10
11,103,2307.4500000000003,4,4,4,444,12
2,238,3873.3,4,4,4,444,12
8,108,4819.33,4,4,4,444,12
3,61,1046.56,4,3,3,433,10
40,7,154.70000000000002,3,1,1,311,5
18,64,1284.06,3,3,3,333,9
3,1640,50862.44,4,4,4,444,12
8,162,2855.35,4,4,4,444,12
19,3,43.2,3,1,1,311,5
108,16,632.04,2,1,2,212,5
223,27,197.1,1,2,1,121,4
71,110,1803.76,2,4,4,244,10
51,35,2083.42,2,2,4,224,8
89,180,2995.72,2,4,4,244,10
8,123,2319.68,4,4,4,444,12
225,27,229.71,1,2,1,121,4
47,87,1611.59,3,3,3,333,9
107,8,120.0,2,1,1,211,4
21,104,2456.98,3,4,4,344,11
65,24,508.58000000000004,2,2,2,222,6
207,42,343.11,1,2,2,122,5
11,123,1530.75,4,4,3,443,11
115,41,574.26,2,2,2,222,6
235,9,166.85,1,1,1,111,3
163,12,311.65,1,1,2,112,4
9,269,4928.74,4,4,4,444,12
124,28,462.65999999999997,2,2,2,222,6
23,26,866.31,3,2,3,323,8
64,19,351.45,2,2,2,222,6
17,163,2539.46,4,4,4,444,12
16,63,468.26,4,3,2,432,9
17,90,1614.91,4,3,4,434,11
