Recency,Frequency,MonetaryValue,RFM_Segment,ClusterLabel
136,3,60.7,2.01.01.0,Dormant
11,110,1797.78,4.04.04.0,Champions
10,226,3401.2400000000002,4.04.04.0,Champions
4,119,9817.12,4.04.04.0,Champions
19,46,870.09,3.03.03.0,Regulars
10,57,869.46,4.03.03.0,Regulars
15,8,250.26000000000002,4.01.01.0,Dormant
59,149,1223.9,2.04.03.0,Regulars
30,321,5891.61,3.04.04.0,Champions
94,22,353.48,2.02.02.0,Dormant
10,56,1197.42,4.03.03.0,Regulars
20,142,788.08,3.04.03.0,Regulars
57,90,1520.58,2.03.03.0,Regulars
268,5,333.74,1.01.02.0,Dormant
122,4,533.98,2.01.02.0,Dormant
127,5,62.63999999999999,2.01.01.0,Dormant
78,21,819.2900000000001,2.02.03.0,Regulars
240,66,847.41,1.03.03.0,Regulars
200,5,163.20000000000002,1.01.01.0,Dormant
60,108,2155.95,2.04.04.0,Regulars
3,32,6463.84,4.02.04.0,Champions
273,16,108.21000000000001,1.01.01.0,Dormant
202,9,257.7,1.01.01.0,Dormant
81,2,358.0,2.01.02.0,Dormant
226,10,160.95,1.01.01.0,Dormant
4,611,2806.97,4.04.04.0,Champions
13,207,1357.6,4.04.03.0,Champions
74,43,605.12,2.03.02.0,Regulars
212,58,1031.07,1.03.03.0,Regulars
25,36,744.85,3.02.03.0,Regulars
17,31,700.73,4.02.03.0,Regulars
262,22,329.56,1.02.02.0,Dormant
96,67,663.65,2.03.02.0,Regulars
112,13,270.40000000000003,2.01.01.0,Dormant
203,58,600.07,1.03.02.0,Regulars
93,27,121.74000000000001,2.02.01.0,Dormant
51,16,430.5,3.01.02.0,Dormant
18,141,1987.3,4.04.04.0,Champions
18,25,501.12,4.02.02.0,Regulars
125,26,465.68,2.02.02.0,Dormant
92,23,711.41,2.02.03.0,Regulars
157,36,1030.4,1.02.03.0,Regulars
9,13,399.51,4.01.02.0,Regulars
14,1,0.0,4.01.01.0,Dormant
12,38,698.58,4.02.03.0,Regulars
62,87,292.32,2.03.01.0,Regulars
61,8,557.62,2.01.02.0,Dormant
269,9,944.1,1.01.03.0,Dormant
263,11,200.29,1.01.01.0,Dormant
1,1677,7454.07,4.04.04.0,Champions
53,91,2107.66,2.03.04.0,Regulars
11,187,3834.2599999999998,4.04.04.0,Champions
3,211,4521.49,4.04.04.0,Champions
18,440,3214.69,4.04.04.0,Champions
1,316,5346.2300000000005,4.04.04.0,Champions
366,1,590.0,1.01.02.0,Dormant
37,96,217.38,3.03.01.0,Regulars
31,15,276.56,3.01.01.0,Dormant
113,16,138.98,2.01.01.0,Dormant
64,30,590.9300000000001,2.02.02.0,Regulars
16,8,258.4,4.01.01.0,Dormant
41,46,542.73,3.03.02.0,Regulars
78,9,137.75,2.01.01.0,Dormant
122,85,814.86,2.03.03.0,Regulars
18,37,1132.14,4.02.03.0,Regulars
60,7,93.66,2.01.01.0,Dormant
331,13,201.19,1.01.01.0,Dormant
23,187,2709.12,3.04.04.0,Champions
156,42,361.11,1.03.02.0,Dormant
39,31,578.9399999999999,3.02.02.0,Regulars
190,54,873.74,1.03.03.0,Regulars
360,10,201.20000000000002,1.01.01.0,Dormant
137,5,87.4,2.01.01.0,Dormant
8,59,2089.85,4.03.04.0,Champions
1,2,360.0,4.01.02.0,Regulars
268,5,142.5,1.01.01.0,Dormant
169,20,371.89,1.02.02.0,Dormant
104,81,618.09,2.03.02.0,Regulars
155,1,63.75,1.01.01.0,Dormant
351,21,300.42,1.02.01.0,Dormant
4,81,2000.86,4.03.04.0,Champions
120,1,15.0,2.01.01.0,Dormant
23,54,1385.51,3.03.03.0,Regulars
7,107,1456.79,4.04.03.0,Champions
28,72,1132.03,3.03.03.0,Regulars
4,26,598.57,4.02.02.0,Regulars
22,78,1555.32,3.03.03.0,Regulars
2,62,775.94,4.03.03.0,Champions
37,87,5977.7300000000005,3.03.04.0,Champions
66,124,2273.68,2.04.04.0,Regulars
1,20,640.76,4.02.02.0,Regulars
5,476,10845.550000000001,4.04.04.0,Champions
78,106,1548.7,2.04.03.0,Regulars
72,11,567.36,2.01.02.0,Dormant
17,25,199.48000000000002,4.02.01.0,Regulars
3,21,787.85,4.02.03.0,Regulars
36,75,7121.95,3.03.04.0,Champions
82,12,675.3,2.01.03.0,Dormant
39,108,3627.77,3.04.04.0,Champions
316,17,1308.48,1.01.03.0,Dormant
32,17,789.0,3.01.03.0,Regulars
93,53,1140.93,2.03.03.0,Regulars
14,21,350.9,4.02.02.0,Regulars
82,268,3536.82,2.04.04.0,Champions
77,51,795.12,2.03.03.0,Regulars
158,19,487.02,1.02.02.0,Dormant
201,54,860.12,1.03.03.0,Regulars
45,134,10736.48,3.04.04.0,Champions
261,42,775.85,1.03.03.0,Regulars
178,19,353.43,1.02.02.0,Dormant
68,119,2543.72,2.04.04.0,Regulars
288,20,389.5,1.02.02.0,Dormant
70,8,341.36,2.01.02.0,Dormant
64,14,233.76,2.01.01.0,Dormant
11,16,247.32,4.01.01.0,Regulars
16,40,979.12,4.02.03.0,Regulars
66,16,373.94,2.01.02.0,Dormant
60,24,397.97999999999996,2.02.02.0,Regulars
71,51,743.53,2.03.03.0,Regulars
122,32,674.7,2.02.03.0,Regulars
80,42,768.24,2.03.03.0,Regulars
257,90,609.95,1.03.02.0,Regulars
269,29,439.03,1.02.02.0,Dormant
64,23,439.56,2.02.02.0,Regulars
9,166,3090.7400000000002,4.04.04.0,Champions
18,60,992.5,4.03.03.0,Regulars
71,10,134.95999999999998,2.01.01.0,Dormant
34,128,2225.37,3.04.04.0,Champions
50,1,56.160000000000004,3.01.01.0,Dormant
257,29,623.4,1.02.02.0,Dormant
366,14,308.28000000000003,1.01.02.0,Dormant
372,39,754.87,1.02.03.0,Dormant
90,23,378.64,2.02.02.0,Dormant
61,158,3312.25,2.04.04.0,Champions
89,37,778.65,2.02.03.0,Regulars
99,53,1019.76,2.03.03.0,Regulars
26,97,572.56,3.03.02.0,Regulars
32,172,3639.31,3.04.04.0,Champions
281,15,222.99,1.01.01.0,Dormant
31,152,4151.93,3.04.04.0,Champions
330,35,534.57,1.02.02.0,Dormant
131,35,677.1,2.02.03.0,Regulars
11,51,797.96,4.03.03.0,Regulars
75,13,544.08,2.01.02.0,Dormant
204,1,59.8,1.01.01.0,Dormant
2,155,2520.02,4.04.04.0,Champions
185,21,307.72,1.02.02.0,Dormant
29,43,1360.99,3.03.03.0,Regulars
73,38,1544.13,2.02.03.0,Regulars
192,26,457.34,1.02.02.0,Dormant
127,39,621.23,2.02.02.0,Regulars
18,3,75.0,4.01.01.0,Dormant
1,11,252.49,4.01.01.0,Regulars
74,27,572.451,2.02.02.0,Regulars
2,478,28117.04,4.04.04.0,Champions
24,28,1003.06,3.02.03.0,Regulars
107,18,213.55,2.02.01.0,Dormant
134,24,1390.5,2.02.03.0,Regulars
44,19,712.5,3.02.03.0,Regulars
5,28,640.83,4.02.02.0,Regulars
12,304,6127.43,4.04.04.0,Champions
64,16,221.06,2.01.01.0,Dormant
150,8,159.85,1.01.01.0,Dormant
40,104,1851.08,3.04.04.0,Regulars
64,127,2626.3,2.04.04.0,Regulars
108,78,1624.21,2.03.03.0,Regulars
1,157,3641.32,4.04.04.0,Champions
19,29,582.6,3.02.02.0,Regulars
10,74,218.47,4.03.01.0,Regulars
11,67,1006.8,4.03.03.0,Regulars
19,49,679.45,3.03.03.0,Regulars
67,46,1269.1,2.03.03.0,Regulars
74,10,534.24,2.01.02.0,Dormant
5,101,3809.8900000000003,4.04.04.0,Champions
2,12,196.89,4.01.01.0,Regulars
14,167,3408.06,4.04.04.0,Champions
255,54,283.71,1.03.01.0,Dormant
92,13,296.64,2.01.01.0,Dormant
23,59,1129.14,3.03.03.0,Regulars
17,195,3539.37,4.04.04.0,Champions
24,19,291.88,3.02.01.0,Regulars
27,71,2043.7199999999998,3.03.04.0,Regulars
26,443,2976.15,3.04.04.0,Champions
259,2,590.0,1.01.02.0,Dormant
166,17,356.97999999999996,1.01.02.0,Dormant
25,46,1058.34,3.03.03.0,Regulars
18,63,1766.72,4.03.04.0,Regulars
7,382,9646.57,4.04.04.0,Champions
29,17,183.44,3.01.01.0,Dormant
39,27,1445.0,3.02.03.0,Regulars
253,9,151.5,1.01.01.0,Dormant
58,41,674.68,2.02.03.0,Regulars
184,17,307.9,1.01.02.0,Dormant
11,99,1083.71,4.03.03.0,Champions
2,302,5704.97,4.04.04.0,Champions
99,10,165.0,2.01.01.0,Dormant
1,260,2531.58,4.04.04.0,Champions
61,21,422.64,2.02.02.0,Regulars
236,64,229.59,1.03.01.0,Dormant
191,86,1431.78,1.03.03.0,Regulars
179,58,1238.47,1.03.03.0,Regulars
38,79,1454.58,3.03.03.0,Regulars
201,15,300.95,1.01.01.0,Dormant
46,109,1804.56,3.04.04.0,Regulars
232,11,184.64,1.01.01.0,Dormant
66,10,140.34,2.01.01.0,Dormant
241,8,313.8,1.01.02.0,Dormant
233,23,454.24,1.02.02.0,Dormant
78,69,1122.41,2.03.03.0,Regulars
58,34,575.4,2.02.02.0,Regulars
17,422,8968.31,4.04.04.0,Champions
105,14,449.52,2.01.02.0,Dormant
52,86,1215.82,2.03.03.0,Regulars
136,50,1269.84,2.03.03.0,Regulars
275,8,618.63,1.01.02.0,Dormant
312,18,316.26000000000005,1.02.02.0,Dormant
8,48,2044.8700000000001,4.03.04.0,Champions
11,35,653.33,4.02.02.0,Regulars
283,19,348.05,1.02.02.0,Dormant
18,42,1159.11,4.03.03.0,Regulars
23,65,1166.77,3.03.03.0,Regulars
288,52,1340.32,1.03.03.0,Regulars
17,18,292.0,4.02.01.0,Regulars
71,17,216.85,2.01.01.0,Dormant
64,22,295.93,2.02.01.0,Dormant
73,215,4393.63,2.04.04.0,Champions
316,26,458.52,1.02.02.0,Dormant
3,162,2479.16,4.04.04.0,Champions
244,12,110.97,1.01.01.0,Dormant
9,44,979.72,4.03.03.0,Regulars
1,115,1791.56,4.04.04.0,Champions
261,15,251.21,1.01.01.0,Dormant
127,10,205.1,2.01.01.0,Dormant
74,4,152.20000000000002,2.01.01.0,Dormant
73,59,891.12,2.03.03.0,Regulars
21,44,1389.41,3.03.03.0,Regulars
60,141,2128.42,2.04.04.0,Regulars
86,38,659.4399999999999,2.02.02.0,Regulars
78,8,122.75,2.01.01.0,Dormant
59,93,3624.35,2.03.04.0,Regulars
1,436,1093.65,4.04.03.0,Champions
30,5,125.80000000000001,3.01.01.0,Dormant
33,172,3964.88,3.04.04.0,Champions
41,27,680.1800000000001,3.02.03.0,Regulars
15,6,628.78,4.01.02.0,Regulars
34,223,2287.51,3.04.04.0,Champions
79,15,307.76,2.01.02.0,Dormant
205,22,483.8,1.02.02.0,Dormant
34,66,210.31,3.03.01.0,Regulars
183,76,270.79,1.03.01.0,Regulars
2,296,5870.08,4.04.04.0,Champions
1,179,3448.29,4.04.04.0,Champions
43,25,1280.85,3.02.03.0,Regulars
86,37,631.34,2.02.02.0,Regulars
40,87,291.41,3.03.01.0,Regulars
12,98,626.99,4.03.02.0,Regulars
96,124,682.41,2.04.03.0,Regulars
26,51,918.2,3.03.03.0,Regulars
319,4,91.80000000000001,1.01.01.0,Dormant
66,109,3740.07,2.04.04.0,Regulars
74,136,4149.28,2.04.04.0,Champions
28,34,584.06,3.02.02.0,Regulars
6,175,605.06,4.04.02.0,Champions
7,33,174.37,4.02.01.0,Regulars
216,14,141.85999999999999,1.01.01.0,Dormant
82,82,1799.33,2.03.04.0,Regulars
84,49,777.53,2.03.03.0,Regulars
144,83,1749.02,1.03.04.0,Regulars
19,38,240.22,3.02.01.0,Regulars
41,176,874.71,3.04.03.0,Regulars
173,44,192.85,1.03.01.0,Dormant
17,85,373.75,4.03.02.0,Regulars
243,27,239.49,1.02.01.0,Dormant
13,341,2092.32,4.04.04.0,Champions
206,33,1384.25,1.02.03.0,Regulars
50,26,294.4,3.02.01.0,Regulars
23,46,732.0699999999999,3.03.03.0,Regulars
10,126,6717.34,4.04.04.0,Champions
25,83,1687.6000000000001,3.03.04.0,Regulars
15,23,467.04,4.02.02.0,Regulars
309,10,118.0,1.01.01.0,Dormant
156,53,781.03,1.03.03.0,Regulars
307,24,142.4,1.02.01.0,Dormant
64,8,712.4,2.01.03.0,Dormant
16,174,2478.95,4.04.04.0,Champions
15,21,379.65,4.02.02.0,Regulars
11,87,1981.92,4.03.04.0,Champions
65,58,1117.13,2.03.03.0,Regulars
36,16,247.95999999999998,3.01.01.0,Dormant
108,128,2037.0800000000002,2.04.04.0,Regulars
53,26,396.97,2.02.02.0,Regulars
6,166,697.04,4.04.03.0,Champions
47,40,180.17000000000002,3.02.01.0,Regulars
1,247,5153.67,4.04.04.0,Champions
312,19,219.52,1.02.01.0,Dormant
45,99,693.32,3.03.03.0,Regulars
65,23,428.89,2.02.02.0,Regulars
26,27,164.34,3.02.01.0,Dormant
29,43,280.53999999999996,3.03.01.0,Regulars
40,98,678.01,3.03.03.0,Regulars
12,226,1131.88,4.04.03.0,Champions
89,74,1171.8,2.03.03.0,Regulars
24,201,1610.46,3.04.03.0,Champions
319,23,417.69,1.02.02.0,Dormant
40,44,544.18,3.03.02.0,Regulars
174,13,177.34,1.01.01.0,Dormant
117,19,213.85,2.02.01.0,Dormant
31,81,747.78,3.03.03.0,Regulars
253,19,257.23,1.02.01.0,Dormant
59,92,1638.47,2.03.03.0,Regulars
23,59,7792.36,3.03.04.0,Champions
5,71,2031.78,4.03.04.0,Champions
100,11,3070.42,2.01.04.0,Regulars
25,146,2121.27,3.04.04.0,Champions
33,188,1575.16,3.04.03.0,Champions
68,62,1071.03,2.03.03.0,Regulars
37,63,949.12,3.03.03.0,Regulars
52,101,810.5,2.04.03.0,Regulars
16,8,122.64,4.01.01.0,Dormant
74,40,1033.34,2.02.03.0,Regulars
216,66,354.8,1.03.02.0,Regulars
31,28,519.44,3.02.02.0,Regulars
16,146,2624.26,4.04.04.0,Champions
120,5,252.1,2.01.01.0,Dormant
10,79,1678.1200000000001,4.03.04.0,Champions
257,23,346.6,1.02.02.0,Dormant
17,96,1836.34,4.03.04.0,Champions
35,6,94.2,3.01.01.0,Dormant
46,63,1095.08,3.03.03.0,Regulars
43,166,2707.33,3.04.04.0,Champions
114,56,932.97,2.03.03.0,Regulars
165,49,379.65,1.03.02.0,Regulars
11,16,382.14,4.01.02.0,Regulars
10,108,2639.17,4.04.04.0,Champions
206,104,1573.2,1.04.03.0,Regulars
86,53,897.76,2.03.03.0,Regulars
179,13,189.47,1.01.01.0,Dormant
60,12,84.65,2.01.01.0,Dormant
149,87,305.02,1.03.01.0,Regulars
3,470,6363.59,4.04.04.0,Champions
51,9,218.55,3.01.01.0,Dormant
75,25,349.7,2.02.02.0,Dormant
301,6,186.39000000000001,1.01.01.0,Dormant
19,65,396.92,3.03.02.0,Regulars
151,25,486.82000000000005,1.02.02.0,Dormant
152,16,232.6,1.01.01.0,Dormant
1,195,3722.42,4.04.04.0,Champions
18,57,827.83,4.03.03.0,Regulars
187,3,59.5,1.01.01.0,Dormant
286,30,67.23,1.02.01.0,Dormant
3,39,3119.44,4.02.04.0,Champions
183,8,72.0,1.01.01.0,Dormant
63,6,910.0,2.01.03.0,Dormant
59,9,172.25,2.01.01.0,Dormant
25,53,1488.32,3.03.03.0,Regulars
4,568,65039.62,4.04.04.0,Champions
31,90,2504.13,3.03.04.0,Champions
39,12,151.29999999999998,3.01.01.0,Dormant
155,14,308.58000000000004,1.01.02.0,Dormant
26,197,2265.12,3.04.04.0,Champions
318,1,99.5,1.01.01.0,Dormant
5,134,2308.06,4.04.04.0,Champions
8,28,711.86,4.02.03.0,Regulars
303,20,330.79,1.02.02.0,Dormant
267,48,806.41,1.03.03.0,Regulars
271,51,296.88,1.03.01.0,Dormant
4,336,6328.05,4.04.04.0,Champions
32,8,180.48,3.01.01.0,Dormant
219,13,252.06,1.01.01.0,Dormant
247,10,228.84,1.01.01.0,Dormant
281,105,1079.34,1.04.03.0,Regulars
269,21,138.28,1.02.01.0,Dormant
32,102,1445.01,3.04.03.0,Regulars
246,12,306.55,1.01.01.0,Dormant
15,60,1041.68,4.03.03.0,Regulars
117,43,799.9,2.03.03.0,Regulars
36,28,524.14,3.02.02.0,Regulars
132,85,2375.41,2.03.04.0,Regulars
217,6,199.85000000000002,1.01.01.0,Dormant
50,104,1980.56,3.04.04.0,Regulars
39,42,1079.6599999999999,3.03.03.0,Regulars
29,20,333.48,3.02.02.0,Regulars
37,63,1016.14,3.03.03.0,Regulars
136,43,752.6,2.03.03.0,Regulars
219,38,610.59,1.02.02.0,Regulars
28,33,491.86,3.02.02.0,Regulars
25,196,2885.2400000000002,3.04.04.0,Champions
5,191,731.9,4.04.03.0,Champions
200,30,339.59999999999997,1.02.02.0,Dormant
18,3,216.9,4.01.01.0,Dormant
241,23,350.75,1.02.02.0,Dormant
72,34,668.4300000000001,2.02.02.0,Regulars
17,321,3131.02,4.04.04.0,Champions
3,41,1341.6,4.02.03.0,Champions
95,72,1156.36,2.03.03.0,Regulars
162,25,300.04,1.02.01.0,Dormant
374,1,79.6,1.01.01.0,Dormant
96,28,948.25,2.02.03.0,Regulars
54,24,1647.26,2.02.03.0,Regulars
288,9,296.25,1.01.01.0,Dormant
124,76,1186.28,2.03.03.0,Regulars
288,35,741.26,1.02.03.0,Dormant
152,12,282.59999999999997,1.01.01.0,Dormant
4,342,2161.35,4.04.04.0,Champions
2,142,5189.52,4.04.04.0,Champions
12,117,3190.55,4.04.04.0,Champions
33,25,659.4100000000001,3.02.02.0,Regulars
54,57,286.79,2.03.01.0,Regulars
50,70,1070.65,3.03.03.0,Regulars
219,7,306.72,1.01.01.0,Dormant
63,15,1714.96,2.01.04.0,Regulars
71,208,1521.76,2.04.03.0,Regulars
2,368,17220.36,4.04.04.0,Champions
2,135,2796.51,4.04.04.0,Champions
64,119,2634.45,2.04.04.0,Regulars
34,177,1132.13,3.04.03.0,Regulars
82,22,345.0,2.02.02.0,Dormant
1,197,25977.16,4.04.04.0,Champions
103,9,178.7,2.01.01.0,Dormant
7,57,360.01,4.03.02.0,Regulars
251,17,127.84,1.01.01.0,Dormant
13,115,912.0,4.04.03.0,Regulars
10,31,2462.79,4.02.04.0,Regulars
367,7,230.39999999999998,1.01.01.0,Dormant
76,31,309.04,2.02.02.0,Dormant
4,45,348.8,4.03.02.0,Regulars
128,11,1516.0,2.01.03.0,Regulars
66,13,195.55,2.01.01.0,Dormant
1,349,37153.85,4.04.04.0,Champions
117,39,688.86,2.02.03.0,Regulars
310,33,558.32,1.02.02.0,Dormant
67,23,324.8,2.02.02.0,Dormant
139,60,4599.42,2.03.04.0,Regulars
255,17,277.07,1.01.01.0,Dormant
31,137,2635.79,3.04.04.0,Champions
52,13,924.6,2.01.03.0,Regulars
64,10,256.38,2.01.01.0,Dormant
367,7,112.6,1.01.01.0,Dormant
6,76,1747.66,4.03.04.0,Champions
305,12,155.05,1.01.01.0,Dormant
29,35,1499.01,3.02.03.0,Regulars
184,13,814.5,1.01.03.0,Dormant
42,36,539.0,3.02.02.0,Regulars
40,69,1366.8600000000001,3.03.03.0,Regulars
92,57,1579.12,2.03.03.0,Regulars
22,176,4027.36,3.04.04.0,Champions
24,28,571.6700000000001,3.02.02.0,Regulars
29,24,382.98,3.02.02.0,Regulars
302,36,1140.35,1.02.03.0,Regulars
145,59,385.64,1.03.02.0,Regulars
6,96,632.0,4.03.02.0,Champions
19,40,957.66,3.02.03.0,Regulars
33,46,1698.94,3.03.04.0,Regulars
176,10,189.5,1.01.01.0,Dormant
58,93,412.05,2.03.02.0,Regulars
22,15,209.49,3.01.01.0,Dormant
16,74,2202.99,4.03.04.0,Champions
19,3,52.199999999999996,3.01.01.0,Dormant
159,29,384.8,1.02.02.0,Dormant
25,55,834.57,3.03.03.0,Regulars
212,19,271.24,1.02.01.0,Dormant
6,174,691.73,4.04.03.0,Champions
253,1,85.0,1.01.01.0,Dormant
59,206,3385.62,2.04.04.0,Champions
11,20,361.62,4.02.02.0,Regulars
65,9,312.98,2.01.02.0,Dormant
25,55,865.0600000000001,3.03.03.0,Regulars
92,5,1255.0,2.01.03.0,Dormant
52,101,1537.95,2.04.03.0,Regulars
129,93,1595.48,2.03.03.0,Regulars
96,81,2651.46,2.03.04.0,Regulars
57,23,1090.14,2.02.03.0,Regulars
9,110,8109.5199999999995,4.04.04.0,Champions
169,14,388.5,1.01.02.0,Dormant
57,11,216.17,2.01.01.0,Dormant
326,28,201.16,1.02.01.0,Dormant
1,76,1245.9,4.03.03.0,Champions
18,139,2209.36,4.04.04.0,Champions
248,20,305.78,1.02.01.0,Dormant
58,30,501.56,2.02.02.0,Regulars
74,7,145.67000000000002,2.01.01.0,Dormant
31,61,1015.29,3.03.03.0,Regulars
7,33,3192.54,4.02.04.0,Champions
123,307,3104.95,2.04.04.0,Champions
2,115,2770.94,4.04.04.0,Champions
23,336,6403.25,3.04.04.0,Champions
120,23,389.6,2.02.02.0,Dormant
358,18,540.45,1.02.02.0,Dormant
54,104,1786.79,2.04.04.0,Regulars
64,7,122.7,2.01.01.0,Dormant
86,3,117.24,2.01.01.0,Dormant
55,36,1281.53,2.02.03.0,Regulars
21,165,3219.77,3.04.04.0,Champions
4,178,17159.52,4.04.04.0,Champions
3,65,1191.13,4.03.03.0,Champions
11,142,2674.48,4.04.04.0,Champions
7,59,787.6,4.03.03.0,Regulars
189,28,506.8,1.02.02.0,Dormant
71,16,243.56,2.01.01.0,Dormant
204,19,349.55,1.02.02.0,Dormant
120,40,605.63,2.02.02.0,Regulars
93,15,416.90000000000003,2.01.02.0,Dormant
1,110,1883.8100000000002,4.04.04.0,Champions
27,27,632.97,3.02.02.0,Regulars
298,21,821.1,1.02.03.0,Dormant
24,27,564.62,3.02.02.0,Regulars
28,118,2593.07,3.04.04.0,Champions
50,17,311.16,3.01.02.0,Dormant
326,12,155.93,1.01.01.0,Dormant
16,19,388.52,4.02.02.0,Regulars
183,43,740.95,1.03.03.0,Regulars
72,149,2867.2,2.04.04.0,Regulars
37,26,332.64,3.02.02.0,Regulars
80,122,2369.55,2.04.04.0,Regulars
57,148,2580.91,2.04.04.0,Regulars
12,33,626.45,4.02.02.0,Regulars
50,18,272.04,3.02.01.0,Dormant
50,30,1212.8400000000001,3.02.03.0,Regulars
59,28,384.81,2.02.02.0,Regulars
352,7,172.25,1.01.01.0,Dormant
54,20,351.13,2.02.02.0,Dormant
2,117,1838.8500000000001,4.04.04.0,Champions
93,41,678.25,2.02.03.0,Regulars
23,11,223.85000000000002,3.01.01.0,Dormant
75,21,348.99,2.02.02.0,Dormant
11,27,464.57,4.02.02.0,Regulars
169,9,842.65,1.01.03.0,Dormant
58,17,337.34,2.01.02.0,Dormant
96,58,1237.53,2.03.03.0,Regulars
295,16,307.4,1.01.02.0,Dormant
109,23,608.7900000000001,2.02.02.0,Regulars
264,31,922.1,1.02.03.0,Regulars
180,26,376.58,1.02.02.0,Dormant
169,9,158.85,1.01.01.0,Dormant
35,7,71.66,3.01.01.0,Dormant
23,45,568.55,3.03.02.0,Regulars
17,49,839.14,4.03.03.0,Regulars
22,45,5112.96,3.03.04.0,Champions
79,11,561.5699999999999,2.01.02.0,Dormant
65,5,90.6,2.01.01.0,Dormant
361,3,102.0,1.01.01.0,Dormant
3,160,2427.32,4.04.04.0,Champions
11,35,745.06,4.02.03.0,Regulars
176,39,674.45,1.02.02.0,Regulars
218,137,3251.071,1.04.04.0,Regulars
7,20,3515.68,4.02.04.0,Champions
2,25,439.92,4.02.02.0,Regulars
154,33,322.96,1.02.02.0,Dormant
5,152,1026.42,4.04.03.0,Champions
79,92,598.2,2.03.02.0,Regulars
21,12,230.22,3.01.01.0,Dormant
22,11,169.55,3.01.01.0,Dormant
308,35,664.54,1.02.02.0,Dormant
146,2,80.7,1.01.01.0,Dormant
7,626,9053.94,4.04.04.0,Champions
19,149,2758.26,3.04.04.0,Champions
71,15,190.25,2.01.01.0,Dormant
287,11,264.7,1.01.01.0,Dormant
49,28,413.59000000000003,3.02.02.0,Regulars
31,338,2526.28,3.04.04.0,Champions
207,10,357.98,1.01.02.0,Dormant
15,15,196.79000000000002,4.01.01.0,Dormant
73,54,869.87,2.03.03.0,Regulars
60,11,200.14,2.01.01.0,Dormant
39,111,1871.81,3.04.04.0,Regulars
30,107,2603.43,3.04.04.0,Champions
27,16,920.51,3.01.03.0,Regulars
4,351,7060.13,4.04.04.0,Champions
17,13,320.46,4.01.02.0,Regulars
20,234,4147.96,3.04.04.0,Champions
66,41,1266.08,2.02.03.0,Regulars
213,16,311.3,1.01.02.0,Dormant
12,84,855.97,4.03.03.0,Regulars
30,5,76.8,3.01.01.0,Dormant
43,121,3466.36,3.04.04.0,Champions
4,155,2313.14,4.04.04.0,Champions
15,86,1393.69,4.03.03.0,Champions
10,208,3901.81,4.04.04.0,Champions
211,15,635.66,1.01.02.0,Dormant
46,39,2043.0800000000002,3.02.04.0,Regulars
134,47,529.73,2.03.02.0,Regulars
43,171,4582.64,3.04.04.0,Champions
10,84,2874.72,4.03.04.0,Champions
116,30,962.19,2.02.03.0,Regulars
198,42,695.61,1.03.03.0,Regulars
278,11,328.8,1.01.02.0,Dormant
110,34,473.02,2.02.02.0,Regulars
77,39,505.18,2.02.02.0,Regulars
53,20,917.34,2.02.03.0,Regulars
162,161,4341.21,1.04.04.0,Regulars
47,66,1421.61,3.03.03.0,Regulars
17,39,642.8,4.02.02.0,Regulars
155,22,631.9,1.02.02.0,Dormant
225,28,440.0,1.02.02.0,Dormant
7,31,584.07,4.02.02.0,Regulars
122,16,327.7,2.01.02.0,Dormant
61,6,104.82,2.01.01.0,Dormant
63,15,467.66,2.01.02.0,Dormant
18,243,2360.09,4.04.04.0,Champions
7,250,17286.86,4.04.04.0,Champions
2,143,2975.59,4.04.04.0,Champions
22,89,651.8199999999999,3.03.02.0,Regulars
29,66,1428.02,3.03.03.0,Regulars
285,38,626.65,1.02.02.0,Dormant
176,28,147.20000000000002,1.02.01.0,Dormant
78,92,1560.38,2.03.03.0,Regulars
33,6,152.2,3.01.01.0,Dormant
41,235,3614.92,3.04.04.0,Champions
266,21,141.41,1.02.01.0,Dormant
27,209,652.82,3.04.02.0,Regulars
109,6,1659.75,2.01.03.0,Dormant
284,14,154.99,1.01.01.0,Dormant
9,32,1308.6100000000001,4.02.03.0,Regulars
305,85,409.93,1.03.02.0,Regulars
17,488,5681.72,4.04.04.0,Champions
32,54,746.36,3.03.03.0,Regulars
1,210,15610.390000000001,4.04.04.0,Champions
20,56,225.36,3.03.01.0,Regulars
124,4,260.25,2.01.01.0,Dormant
65,6,92.46,2.01.01.0,Dormant
106,10,725.6400000000001,2.01.03.0,Dormant
1,1106,8214.65,4.04.04.0,Champions
24,284,6217.96,3.04.04.0,Champions
267,8,183.6,1.01.01.0,Dormant
5,202,6140.42,4.04.04.0,Champions
10,111,10464.85,4.04.04.0,Champions
29,80,1353.74,3.03.03.0,Regulars
267,7,152.55,1.01.01.0,Dormant
64,52,374.7,2.03.02.0,Regulars
320,24,265.85,1.02.01.0,Dormant
4,324,1438.82,4.04.03.0,Champions
32,13,151.04,3.01.01.0,Dormant
5,43,942.26,4.03.03.0,Regulars
129,46,122.47,2.03.01.0,Dormant
41,42,499.41999999999996,3.03.02.0,Regulars
102,65,1049.37,2.03.03.0,Regulars
125,12,375.1,2.01.02.0,Dormant
33,4,45.599999999999994,3.01.01.0,Dormant
302,153,934.52,1.04.03.0,Regulars
365,29,182.25,1.02.01.0,Dormant
4,181,1018.43,4.04.03.0,Champions
2,450,4448.54,4.04.04.0,Champions
3,69,194.42,4.03.01.0,Regulars
10,589,50491.81,4.04.04.0,Champions
57,14,161.0,2.01.01.0,Dormant
